Model,Test File,MAE,SMAPE (%),RMSE
SVR,test_data_1.csv,0.04825937398871621,4.205154334634776,0.06254916434800295
SVR,test_data_2.csv,0.03846313192625708,3.243300088642636,0.04679746127270743
SVR,test_data_3.csv,0.04859209982962759,3.986161186429514,0.06937381840971127
XGBoost,test_data_1.csv,0.03925879588362289,3.4873703377380694,0.05420180706095252
XGBoost,test_data_2.csv,0.040240256423144376,3.5180515146724822,0.04928386372284582
XGBoost,test_data_3.csv,0.037438178026413395,3.1519073110069975,0.0551357826577279
