Tarih,Ptfdolar,Dolar,Smfdolar,Istanbul_anadolu_temp,Istanbul_anadolu_humidity,Istanbul_avrupa_temp,Istanbul_avrupa_humidity,Bursa_temp,Bursa_humidity,Izmir_temp,Izmir_humidity,Adana_temp,Adana_humidity,Gaziantep_temp,Gaziantep_humidity,Day/Night,Mevsim,Year,Month,Day,Hour,Is_Weekend,Weekday,Season,Ptfdolar_Lag1,Ptfdolar_Lag7,Ptfdolar_Lag30
2023-02-24 00:00:00,,0.6963428149242704,0.5538139637324719,0.3377777777777778,0.6785714285714285,0.3377777777777778,0.6785714285714285,0.2915887850467289,0.9775280898876404,0.2564705882352941,0.8478260869565217,0.2600806451612903,0.8888888888888888,0.3216783216783216,0.7040816326530611,0.0,3,2023,2,24,0,0,4,4,0.5626301245410152,0.6423515160691978,0.733239959117235
2023-02-24 01:00:00,,0.6963428149242704,0.5477204316863666,0.3444444444444444,0.6785714285714285,0.3444444444444444,0.6785714285714285,0.2710280373831776,0.9887640449438204,0.2517647058823529,0.8804347826086956,0.2620967741935484,0.8888888888888888,0.3146853146853146,0.7448979591836734,0.0,3,2023,2,24,1,0,4,4,,0.7331263958814399,0.733239959117235
2023-02-24 02:00:00,,0.6963428149242704,0.6153733206078847,0.3333333333333333,0.7023809523809523,0.3333333333333333,0.7023809523809523,0.2598130841121495,0.9887640449438204,0.2470588235294117,0.8804347826086956,0.2419354838709677,0.8888888888888888,0.3146853146853146,0.7142857142857142,0.0,3,2023,2,24,2,0,4,4,,0.7129878487337699,0.733239959117235
2023-02-24 03:00:00,,0.6963428149242704,0.5505102415388003,0.3288888888888889,0.738095238095238,0.3288888888888889,0.738095238095238,0.2616822429906542,1.0,0.2470588235294117,0.8804347826086956,0.2540322580645161,0.8777777777777778,0.3181818181818181,0.683673469387755,0.0,3,2023,2,24,3,0,4,4,,0.7121171972593405,0.7127985766741114
2023-02-24 04:00:00,,0.6963428149242704,0.5900447837897365,0.3111111111111111,0.7738095238095237,0.3111111111111111,0.7738095238095237,0.2448598130841121,0.9887640449438204,0.268235294117647,0.8369565217391304,0.2116935483870967,0.8888888888888888,0.3321678321678321,0.6122448979591836,0.0,3,2023,2,24,4,0,4,4,,0.7111708369610478,0.6434114396032857
2023-02-24 05:00:00,,0.6963428149242704,0.5744438734307319,0.3111111111111111,0.7976190476190476,0.3111111111111111,0.7976190476190476,0.2373831775700934,1.0,0.2823529411764706,0.8043478260869565,0.2620967741935484,0.8555555555555555,0.3409090909090909,0.6224489795918366,0.0,3,2023,2,24,5,0,4,4,,0.5755763334216603,0.633039330733997
2023-02-24 06:00:00,,0.6963428149242704,0.7008296013508551,0.3266666666666666,0.7619047619047619,0.3266666666666666,0.7619047619047619,0.2672897196261682,1.0,0.2917647058823529,0.7934782608695652,0.3205645161290322,0.7666666666666666,0.3898601398601398,0.4591836734693877,1.0,3,2023,2,24,6,0,4,4,,0.5626301245410152,0.6427300601885149
2023-02-24 07:00:00,,0.6963428149242704,0.7107407679318699,0.3666666666666667,0.738095238095238,0.3666666666666667,0.738095238095238,0.3177570093457944,0.9887640449438204,0.3270588235294118,0.7391304347826086,0.3931451612903225,0.4777777777777778,0.437062937062937,0.3163265306122448,1.0,3,2023,2,24,7,0,4,4,,,0.5825036908051633
2023-02-24 08:00:00,,0.6963428149242704,0.710777475956244,0.3777777777777777,0.6785714285714285,0.3777777777777777,0.6785714285714285,0.3401869158878504,0.9662921348314608,0.3694117647058824,0.6630434782608696,0.4133064516129032,0.4222222222222222,0.4545454545454545,0.3163265306122448,1.0,3,2023,2,24,8,0,4,4,,,0.5021387742741417
2023-02-24 09:00:00,,0.6963428149242704,0.710777475956244,0.3777777777777777,0.7261904761904762,0.3777777777777777,0.7261904761904762,0.3719626168224299,0.9550561797752808,0.4235294117647059,0.5869565217391304,0.4536290322580645,0.2666666666666666,0.465034965034965,0.3061224489795918,1.0,3,2023,2,24,9,0,4,4,,,0.5391225347314229
2023-02-24 10:00:00,,0.6963428149242704,0.710777475956244,0.3888888888888889,0.738095238095238,0.3888888888888889,0.738095238095238,0.3906542056074766,0.8764044943820225,0.4517647058823529,0.5652173913043479,0.4838709677419354,0.2,0.4895104895104895,0.2857142857142856,1.0,3,2023,2,24,10,0,4,4,,,0.5391225347314229
2023-02-24 11:00:00,,0.6963428149242704,0.710777475956244,0.4,0.7738095238095237,0.4,0.7738095238095237,0.4130841121495327,0.7640449438202247,0.4894117647058824,0.4999999999999999,0.4939516129032257,0.2111111111111111,0.4982517482517481,0.2755102040816326,1.0,3,2023,2,24,11,0,4,4,,,0.5391225347314229
2023-02-24 12:00:00,,0.6963428149242704,0.4838117612510095,0.4,0.75,0.4,0.75,0.4485981308411214,0.6179775280898877,0.4682352941176471,0.4782608695652173,0.502016129032258,0.1777777777777778,0.4930069930069929,0.2857142857142856,1.0,3,2023,2,24,12,0,4,4,,,0.6317522807283188
2023-02-24 13:00:00,,0.6963428149242704,0.4576022318478819,0.4,0.7738095238095237,0.4,0.7738095238095237,0.4747663551401869,0.5393258426966292,0.4541176470588235,0.576086956521739,0.4939516129032257,0.3111111111111111,0.5157342657342656,0.2857142857142856,1.0,3,2023,2,24,13,0,4,4,,,0.5825036908051633
2023-02-24 14:00:00,,0.6963428149242704,0.5257690331106379,0.4,0.7738095238095237,0.4,0.7738095238095237,0.491588785046729,0.4943820224719101,0.4423529411764706,0.6413043478260869,0.4737903225806451,0.4444444444444445,0.4982517482517481,0.2959183673469387,1.0,3,2023,2,24,14,0,4,4,,,0.7331263958814399
